Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue Name,Venue Category,Venue Lat,Venue Lon
Allermöhe,53.48321363237082,10.133345706156492,Wutzrock,Event Space,53.483273528351425,10.11040631303752
Allermöhe,53.48321363237082,10.133345706156492,Landhaus Voigt,German Restaurant,53.47536816287766,10.10236220385315
Allermöhe,53.48321363237082,10.133345706156492,Zum Eichbaum,German Restaurant,53.48776273241291,10.104665431890744
Allermöhe,53.48321363237082,10.133345706156492,SpielScheune der Geschichten,Indoor Play Area,53.482528,10.154303
Allermöhe,53.48321363237082,10.133345706156492,Rossmann,Drugstore,53.489544,10.158696
Allermöhe,53.48321363237082,10.133345706156492,Regattastrecke Dove-Elbe Allermöhe,Racetrack,53.48212708328873,10.114627457275077
Allermöhe,53.48321363237082,10.133345706156492,Olympiastützpunkt Rudern,Athletics & Sports,53.48175761116005,10.113718003801276
Allermöhe,53.48321363237082,10.133345706156492,Sportplatz 2000,Soccer Field,53.48354370742136,10.153467873720906
Allermöhe,53.48321363237082,10.133345706156492,elite-eventhouse,Nightclub,53.48916904337606,10.11296107043874
Allermöhe,53.48321363237082,10.133345706156492,S Mittlerer Landweg,Light Rail Station,53.497214483015696,10.131806148650343
Allermöhe,53.48321363237082,10.133345706156492,EDEKA Nöhring,Supermarket,53.48938633,10.15757076
Allermöhe,53.48321363237082,10.133345706156492,Hamburger Sparkasse,Bank,53.489395547343854,10.158225704690567
Allermöhe,53.48321363237082,10.133345706156492,Markt in Allermöhe,Farmers Market,53.48946136859751,10.158538127664963
Allermöhe,53.48321363237082,10.133345706156492,See hinterm Horn,Lake,53.472813,10.154882
Allermöhe,53.48321363237082,10.133345706156492,ETSV Eisenbahn Hamburg,Soccer Field,53.49982028595641,10.134052943216048
Allermöhe,53.48321363237082,10.133345706156492,Louis,Motorcycle Shop,53.49420881821575,10.112363732731296
Allermöhe,53.48321363237082,10.133345706156492,S Allermöhe,Light Rail Station,53.490037158602405,10.158920288085938
Allermöhe,53.48321363237082,10.133345706156492,H S Mittlerer Landweg,Bus Stop,53.4993671516222,10.124386673675435
Allermöhe,53.48321363237082,10.133345706156492,Eichbaumsee,Lake,53.48560694776859,10.10340929031372
Alsterdorf,53.61095772808401,10.009906207833676,Eiskaffee Eis Perle,Ice Cream Shop,53.608354075112125,10.009393749713743
Alsterdorf,53.61095772808401,10.009906207833676,REWE,Supermarket,53.6076472,10.005769
Alsterdorf,53.61095772808401,10.009906207833676,Sato Döner Imbiss,Doner Restaurant,53.60665279575789,10.01187853244614
Alsterdorf,53.61095772808401,10.009906207833676,Best Western Premier Alsterkrug Hotel,Hotel,53.61308027653405,9.999036652778614
Alsterdorf,53.61095772808401,10.009906207833676,Braband,Café,53.613329689387285,10.002280887148505
Alsterdorf,53.61095772808401,10.009906207833676,MAGAZIN-Filmkunsttheater,Indie Movie Theater,53.59976217859377,10.003804646110007
Alsterdorf,53.61095772808401,10.009906207833676,Ringeltaube,Gourmet Shop,53.619192829812654,10.000868439674377
Alsterdorf,53.61095772808401,10.009906207833676,Eppendorfer Moor,Nature Preserve,53.60865052384538,9.989361763000488
Alsterdorf,53.61095772808401,10.009906207833676,Bep Viet,Vietnamese Restaurant,53.60472658238048,10.023067967584014
Alsterdorf,53.61095772808401,10.009906207833676,Polizeimuseum Hamburg,Museum,53.603145064147675,10.006624578946521
Alsterdorf,53.61095772808401,10.009906207833676,Motel One Hamburg-Airport,Hotel,53.62306988030396,10.010987902315243
Alsterdorf,53.61095772808401,10.009906207833676,Die Wäscherei,Furniture / Home Store,53.603863,10.02339
Alsterdorf,53.61095772808401,10.009906207833676,Sportspaß Center City Nord,Gym / Fitness Center,53.60413553685804,10.024062289178646
Alsterdorf,53.61095772808401,10.009906207833676,Alsterdorfer Markt,Plaza,53.61269430541352,10.024914176483508
Alsterdorf,53.61095772808401,10.009906207833676,Hamburger Laufladen,Sporting Goods Shop,53.599551000675426,10.00624882221228
Alsterdorf,53.61095772808401,10.009906207833676,Lidl,Supermarket,53.61552132606268,10.002384642139077
Alsterdorf,53.61095772808401,10.009906207833676,Restaurant Alexandros,Greek Restaurant,53.607774,10.007744
Alsterdorf,53.61095772808401,10.009906207833676,Rossmann,Drugstore,53.61277358374321,10.02466795993628
Alsterdorf,53.61095772808401,10.009906207833676,Roxie,Diner,53.607387,10.010294
Alsterdorf,53.61095772808401,10.009906207833676,Cantina Alsterdorf,Restaurant,53.605144576448645,10.013186927147451
Alsterdorf,53.61095772808401,10.009906207833676,Joris,Bistro,53.60289612249189,10.023296829534791
Alsterdorf,53.61095772808401,10.009906207833676,Tchibo,Office,53.607355743870954,10.01927375793457
Alsterdorf,53.61095772808401,10.009906207833676,Pur,Restaurant,53.604147119784294,10.022718473518639
Alsterdorf,53.61095772808401,10.009906207833676,ibis Hamburg Airport,Hotel,53.62247835583023,10.010424834919604
Alsterdorf,53.61095772808401,10.009906207833676,Sporthalle Hamburg,Concert Hall,53.60282741128036,10.002057770277148
Alsterdorf,53.61095772808401,10.009906207833676,U Sengelmannstraße (City Nord),Metro Station,53.60785451260321,10.019839382099917
Alsterdorf,53.61095772808401,10.009906207833676,H Sydneystraße,Bus Stop,53.60524965594072,10.017830217804134
Alsterdorf,53.61095772808401,10.009906207833676,Stoffmarkt Alsterdorf,Flea Market,53.61229596822602,10.023842062163142
Alsterdorf,53.61095772808401,10.009906207833676,H Manilabrücke,Bus Stop,53.60688823072069,10.02229980728865
Alsterdorf,53.61095772808401,10.009906207833676,EDEKA aktiv markt Ecks,Supermarket,53.612635811764676,10.02490738752285
Alsterdorf,53.61095772808401,10.009906207833676,Edeka Kantine,Supermarket,53.60276083618747,10.016559064526884
Alsterdorf,53.61095772808401,10.009906207833676,Kesselhaus Restaurant,Restaurant,53.61278086814024,10.025027645673795
Alsterdorf,53.61095772808401,10.009906207833676,Eiscafe il Gelato,Ice Cream Shop,53.612664341926575,10.025196075439453
Alsterdorf,53.61095772808401,10.009906207833676,Cafe Carlos,Portuguese Restaurant,53.602975209660116,10.023754725038991
Alsterdorf,53.61095772808401,10.009906207833676,CrossFit HH,Gym,53.602185098671626,10.022926273347602
Alsterdorf,53.61095772808401,10.009906207833676,H Röntgenstraße,Bus Stop,53.62338049043203,10.011406723971657
Altengamme,53.44221388733703,10.276190155768342,Stover Strand,Beach,53.430879212166325,10.310541152235933
Altengamme,53.44221388733703,10.276190155768342,Campingplatz Stover Strand International Kloodt oHG,Campground,53.42456767052796,10.295243327452573
Altengamme,53.44221388733703,10.276190155768342,Hotel Restaurant Zur Rennbahn,Restaurant,53.428605,10.303533
Altengamme,53.44221388733703,10.276190155768342,E aktiv markt Clausen,Supermarket,53.42793349999999,10.3135805
Altengamme,53.44221388733703,10.276190155768342,PENNY,Supermarket,53.447639,10.230697
Moorburg,53.49051965461215,9.921899678060427,McDonald's,Fast Food Restaurant,53.47086941978339,9.928085522645226
Moorburg,53.49051965461215,9.921899678060427,Restaurant Wasserturm,German Restaurant,53.49298921880176,9.932022072359016
Moorburg,53.49051965461215,9.921899678060427,AS Hamburg-Hausbruch (31),Intersection,53.48140316974833,9.914165582794187
Moorburg,53.49051965461215,9.921899678060427,Containerterminal Altenwerder,Port,53.503776111709506,9.929726192750644
Moorburg,53.49051965461215,9.921899678060427,DAILY fresh Hotel & Konferenzcenter,Hotel,53.473335,9.932869
Moorburg,53.49051965461215,9.921899678060427,AS Hamburg-Heimfeld (32),Intersection,53.47051393596477,9.927209515317987
Moorburg,53.49051965461215,9.921899678060427,Burger King,Fast Food Restaurant,53.47112384661904,9.922468524850952
Altenwerder,53.5089122249079,9.913941533354718,Trucker-Treff,Gastropub,53.513180232725574,9.91361453507653
Altenwerder,53.5089122249079,9.913941533354718,Güterbahnhof Hansaport,Train Station,53.51204286162238,9.916151089798184
Altenwerder,53.5089122249079,9.913941533354718,Autohof Waltershof,Rest Area,53.51268903496646,9.913462315499585
Altenwerder,53.5089122249079,9.913941533354718,Waltershofer Kreuzung,Intersection,53.51417790888708,9.91203994222615
Altenwerder,53.5089122249079,9.913941533354718,AS Hamburg-Waltershof (30),Intersection,53.515422149140605,9.917950630187988
Altenwerder,53.5089122249079,9.913941533354718,Containerterminal Altenwerder,Port,53.503776111709506,9.929726192750644
Altenwerder,53.5089122249079,9.913941533354718,Hansaport,Harbor / Marina,53.51436820949785,9.930275576686652
Altenwerder,53.5089122249079,9.913941533354718,H Am Genter Ufer S,Bus Stop,53.51550878642771,9.895740916396003
Altenwerder,53.5089122249079,9.913941533354718,TOTAL Truckstop,Gas Station,53.51729347,9.89020128
Altenwerder,53.5089122249079,9.913941533354718,Süderelbe,River,53.518526884056406,9.886728711974266
Altenwerder,53.5089122249079,9.913941533354718,Restaurant Wasserturm,German Restaurant,53.49298921880176,9.932022072359016
Altenwerder,53.5089122249079,9.913941533354718,Anleger Waltershof,Pier,53.525250841859005,9.931187530938796
Altenwerder,53.5089122249079,9.913941533354718,Eurogate Container Terminal,Port,53.528735463922324,9.919923959473945
Altona-Altstadt,53.550183676157346,9.946534688104327,Malto,Beer Bar,53.555468,9.942967
Altona-Altstadt,53.550183676157346,9.946534688104327,Liberty,Ice Cream Shop,53.54578368798993,9.952150544657608
